No,Kode,Nama Perusahaan,Tahun,X1_KepInstitusional,X2_KomiteAudit,X3_DewanKomInd,X4_KeberagamanGender,X5_KepManajerial,Y_ETR
52,FAPA,FAP Agri Tbk.,2022,0.8499999917,3.0,0.5,0.0,0.0,0.2459361705
53,FAPA,FAP Agri Tbk.,2023,0.9899547555,3.0,0.5,0.0,0.0,0.3529001037
54,FAPA,FAP Agri Tbk.,2024,0.9899547555,3.0,0.5,0.0,0.0,0.2623343865
55,FISH,FKS Multi Agro Tbk.,2022,0.8947627083,3.0,0.5,0.2,0.0,0.2220083893
56,FISH,FKS Multi Agro Tbk.,2023,0.8947627083,3.0,0.5,0.3333333333,0.0,0.2391902985
57,FISH,FKS Multi Agro Tbk.,2024,0.8946377083,3.0,0.5,0.3333333333,0.0,0.3408791782
58,GGRM,Gudang Garam Tbk.,2022,0.91,3.0,0.5,0.0,0.0067288658,0.2377002628
59,GGRM,Gudang Garam Tbk.,2023,0.899,3.0,0.5,0.0,0.0067288658,0.2239238015
60,GGRM,Gudang Garam Tbk.,2024,0.897,3.0,0.5,0.0,0.0067288658,0.2997028319
61,GOOD,Garudafood Putra Putri Jaya Tb,2022,0.5172313154,3.0,0.3333333333,0.0,0.0923040015,0.2262322547
62,GOOD,Garudafood Putra Putri Jaya Tb,2023,0.5071979291,3.0,0.3333333333,0.0,0.1711929246,0.2318588503
63,GOOD,Garudafood Putra Putri Jaya Tb,2024,0.4223345418,3.0,0.3333333333,0.0,0.1972716462,0.1998936555
64,GZCO,Gozco Plantations Tbk.,2022,0.72746025,3.0,0.3333333333,0.0,0.2669101833,0.1869993673
65,GZCO,Gozco Plantations Tbk.,2023,0.6488905833,3.0,0.3333333333,0.0,0.2667435167,0.3892868158
66,GZCO,Gozco Plantations Tbk.,2024,0.6488905833,3.0,0.3333333333,0.0,0.2667435167,0.2292302182
67,HMSP,H.M. Sampoerna Tbk.,2022,0.9536358439,3.0,0.5,0.4532467532,0.0,0.2356220353
68,HMSP,H.M. Sampoerna Tbk.,2023,0.9535855591,3.0,0.5,0.1428571429,0.0,0.2147566925
69,HMSP,H.M. Sampoerna Tbk.,2024,0.9504530037,3.0,0.5,0.125,0.0,0.2348529759
70,ICBP,Indofood CBP Sukses Makmur Tbk,2022,0.8053294538,3.0,0.5,0.0625,0.0,0.2396144516
71,ICBP,Indofood CBP Sukses Makmur Tbk,2023,0.8053294538,3.0,0.5,0.0,0.0,0.2603451224
72,ICBP,Indofood CBP Sukses Makmur Tbk,2024,0.8053294538,3.0,0.5,0.0,0.0,0.2335752052
73,INDF,Indofood Sukses Makmur Tbk.,2022,0.9659,3.0,0.375,0.1052631579,0.00015717,0.2537751146
74,INDF,Indofood Sukses Makmur Tbk.,2023,0.9454,3.0,0.375,0.1052631579,0.00015717,0.263948104
75,INDF,Indofood Sukses Makmur Tbk.,2024,0.9652,3.0,0.375,0.1052631579,0.00015717,0.232531496
76,ITIC,Indonesian Tobacco Tbk.,2022,0.0701590271,3.0,0.5,0.25,0.5446682651,0.2579786617
77,ITIC,Indonesian Tobacco Tbk.,2023,0.0701590271,3.0,0.5,0.25,0.5446682651,0.2555204395
78,ITIC,Indonesian Tobacco Tbk.,2024,0.0701590271,3.0,0.5,0.25,0.5446682651,0.2771352732
79,JPFA,Japfa Comfeed Indonesia Tbk.,2022,0.8993096658,3.0,0.5,0.0,0.000254533,0.2371916712
80,JPFA,Japfa Comfeed Indonesia Tbk.,2023,0.8971093442,3.0,0.5,0.0,0.0002346295,0.250004559
81,JPFA,Japfa Comfeed Indonesia Tbk.,2024,0.932008282,3.0,0.5,0.0,0.0002124576,0.2426360471
82,KEJU,Mulia Boga Raya Tbk.,2022,0.9060844,3.0,0.3333333333,0.0,0.0,0.2195570245
83,KEJU,Mulia Boga Raya Tbk.,2023,0.9060962,3.0,0.3333333333,0.0,0.0032039333,0.2198301318
84,KEJU,Mulia Boga Raya Tbk.,2024,0.9063164667,3.0,0.3333333333,0.0,0.0052949333,0.2103045238
85,KMDS,Kurniamitra Duta Sentosa Tbk.,2022,0.7619047638,3.0,0.5,0.25,0.0280317588,0.2163104867
86,KMDS,Kurniamitra Duta Sentosa Tbk.,2023,0.7619047638,3.0,0.5,0.25,0.0280317588,0.212113691
87,KMDS,Kurniamitra Duta Sentosa Tbk.,2024,0.7619047638,3.0,0.3333333333,0.2,0.0280317588,0.210281683
88,LSIP,PP London Sumatra Indonesia Tb,2022,0.5961901457,3.0,0.4,0.1111111111,3.10852e-05,0.1934048811
89,LSIP,PP London Sumatra Indonesia Tb,2023,0.5961901457,3.0,0.4,0.1111111111,3.10852e-05,0.1678494568
90,LSIP,PP London Sumatra Indonesia Tb,2024,0.5961901457,3.0,0.4,0.2222222222,3.10852e-05,0.1678494568
91,MAIN,Malindo Feedmill Tbk.,2022,0.572704921,3.0,0.6,0.0,0.0033009939,0.1763020915
92,MAIN,Malindo Feedmill Tbk.,2023,0.572704921,3.0,0.6,0.0,0.0033923395,0.3892868158
93,MAIN,Malindo Feedmill Tbk.,2024,0.572704921,3.0,0.6,0.0,0.0036022781,0.2353734111
94,MIDI,Midi Utama Indonesia Tbk.,2022,0.9585427253,3.0,0.5,0.2,0.0065051019,0.1937291549
95,MIDI,Midi Utama Indonesia Tbk.,2023,0.9414764413,3.0,0.6666666667,0.4,0.0067132652,0.1881026512
96,MIDI,Midi Utama Indonesia Tbk.,2024,0.9601259036,3.0,0.6666666667,0.4,0.0067132652,0.2775405416
97,MLBI,Multi Bintang Indonesia Tbk.,2022,0.8931898434,3.0,0.5,0.4532467532,0.0,0.2579898547
98,MLBI,Multi Bintang Indonesia Tbk.,2023,0.8931898434,3.0,0.4,0.4532467532,0.0,0.2369952494
99,MLBI,Multi Bintang Indonesia Tbk.,2024,0.8931898434,3.0,0.4,0.4532467532,0.0,0.2111146718
100,MLPL,Multipolar Tbk.,2022,0.5856202742,3.0,0.4,0.0,4.6679e-06,0.3892868158
101,MLPL,Multipolar Tbk.,2023,0.5856202742,3.0,0.4,0.0,0.00045114,0.3892868158
102,MLPL,Multipolar Tbk.,2024,0.5856202742,3.0,0.3333333333,0.0,0.0030473305,0.3892868158
103,MYOR,Mayora Indah Tbk.,2022,0.5907083859,3.0,0.4,0.0,0.2525240989,0.2138789617
104,MYOR,Mayora Indah Tbk.,2023,0.5907083859,3.0,0.4,0.0,0.2525240989,0.2073528736
105,MYOR,Mayora Indah Tbk.,2024,0.5907083859,3.0,0.4,0.0,0.2526318198,0.2095869656
106,PGUN,Pradiksi Gunatama Tbk.,2022,0.9899547555,3.0,0.5,0.0,0.0,0.1678494568
107,PGUN,Pradiksi Gunatama Tbk.,2023,0.9292897059,3.0,0.5,0.0,2.7536e-06,0.2248399352
108,PGUN,Pradiksi Gunatama Tbk.,2024,0.8814020906,3.0,0.5,0.0,2.7536e-06,0.2223652193
109,PSGO,Palma Serasih Tbk.,2022,0.8827834801,3.0,0.5,0.4285714286,0.0848806366,0.1910375102
110,PSGO,Palma Serasih Tbk.,2023,0.8827639947,3.0,0.5,0.4285714286,0.0848806366,0.1678494568
111,PSGO,Palma Serasih Tbk.,2024,0.8827796923,3.0,0.6666666667,0.4285714286,0.0848806366,0.20150141
112,ROTI,Nippon Indosari Corpindo Tbk.,2022,0.9899547555,3.0,0.3333333333,0.4532467532,0.0,0.245354814
113,ROTI,Nippon Indosari Corpindo Tbk.,2023,0.9899547555,3.0,0.3333333333,0.4532467532,0.0,0.2212437503
114,ROTI,Nippon Indosari Corpindo Tbk.,2024,0.9863315741,3.0,0.3333333333,0.4532467532,0.0,0.2276371399
