Variabel,N,Minimum,Maksimum,Mean,Median,Std. Deviasi,Skewness,Kurtosis
X1 Kepemilikan Institusional,162,0.0679,0.99,0.7345,0.8053,0.2506,-1.4128,1.3478
X2 Komite Audit,162,2.0,4.0,3.0062,3.0,0.2084,0.599,20.1072
X3 Dewan Komisaris Independen,162,0.3333,0.6667,0.4393,0.4,0.1015,0.6917,-0.385
X4 Keberagaman Gender,162,0.0,0.4532,0.121,0.0,0.1497,0.8628,-0.5542
X5 Kepemilikan Manajerial,162,0.0,0.5447,0.0667,0.0002,0.1507,2.3742,4.3042
Y Penghindaran Pajak (ETR),162,0.1678,0.3893,0.2414,0.2254,0.0582,1.3367,1.1278
