Kode,Nama Perusahaan,Tahun,Saham Institusional,Saham Beredar,X1,Total Komite Audit (X2),Jml Komisaris Independen,Total Dewan Komisaris,X3,Direksi Perempuan,Total Direksi,X4,Saham Manajemen,Saham Beredar (KM),X5,Beban Pajak,Laba Sebelum Pajak,Y
CMRY,Cisarua Mountain Dairy Tbk.,2023,1811872546.0,7934683000.0,0.0021473916737468138,4,1.0,3.0,0.3333333333333333,0.0,5.0,0.0,5965562100.0,7934683000.0,0.7518337027452766,319378000000.0,1561158000000.0,0.20457762763282128
CMRY,Cisarua Mountain Dairy Tbk.,2024,1881322419.0,7934683000.0,0.009251384876805437,4,1.0,3.0,0.3333333333333333,0.0,6.0,0.0,5957444200.0,7934683000.0,0.7508106120937661,385367000000.0,1904792000000.0,0.20231447843124079
CPIN,Charoen Pokphand Indonesia Tbk,2022,16281428294.0,16398000000.0,0.9928911022075863,3,1.0,3.0,0.3333333333333333,1.0,6.0,0.16666666666666666,0.0,16398000000.0,0.0,606820000000.0,3540000000000.0,0.1714180790960452
CPIN,Charoen Pokphand Indonesia Tbk,2023,16249043677.0,16398000000.0,0.9909161895962922,3,2.0,4.0,0.5,1.0,6.0,0.16666666666666666,0.0,16398000000.0,0.0,678797000000.0,2996885000000.0,0.22650085004930118
CPIN,Charoen Pokphand Indonesia Tbk,2024,16236405077.0,16398000000.0,0.9901454492621051,3,2.0,4.0,0.5,1.0,6.0,0.16666666666666666,0.0,16398000000.0,0.0,1544753000000.0,5256354000000.0,0.2938829842891099
CPRO,Central Proteina Prima Tbk.,2022,47993457379.0,59572382787.0,0.8056326628833994,3,2.0,6.0,0.3333333333333333,0.0,6.0,0.0,11350200.0,59572382787.0,0.00019052788337479195,102701000000.0,476679000000.0,0.21545106874857084
CPRO,Central Proteina Prima Tbk.,2023,47130068624.0,59572382787.0,0.7911395586191797,3,2.0,4.0,0.5,0.0,7.0,0.0,11350200.0,59572382787.0,0.00019052788337479195,120789000000.0,522563000000.0,0.23114724923119317
CPRO,Central Proteina Prima Tbk.,2024,59561032587.0,59572382787.0,0.9998094721166252,3,2.0,4.0,0.5,0.0,7.0,0.0,11350200.0,59572382787.0,0.00019052788337479195,128832000000.0,448987000000.0,0.28693926550211923
CSRA,Cisadane Sawit Raya Tbk.,2022,1869235902.0,2050000000.0,0.9118223912195121,3,1.0,3.0,0.3333333333333333,0.0,4.0,0.0,0.0,2050000000.0,0.0,77733481954.0,330140150685.0,0.23545600797937674
CSRA,Cisadane Sawit Raya Tbk.,2023,1782916872.0,2050000000.0,0.8697155473170731,3,1.0,3.0,0.3333333333333333,0.0,4.0,0.0,0.0,2050000000.0,0.0,52435547763.0,198574536830.0,0.26405977624356824
CSRA,Cisadane Sawit Raya Tbk.,2024,1781349326.0,2050000000.0,0.8689508907317073,3,1.0,3.0,0.3333333333333333,0.0,4.0,0.0,0.0,2050000000.0,0.0,74830790289.0,289685678422.0,0.2583171895021684
DLTA,Delta Djakarta Tbk.,2022,536005850.0,800659050.0,0.6694558064384584,3,2.0,5.0,0.4,0.0,4.0,0.0,0.0,800659050.0,0.0,64145853000.0,294211660000.0,0.21802620943031287
DLTA,Delta Djakarta Tbk.,2023,531555650.0,800659050.0,0.6638976353292952,3,2.0,5.0,0.4,0.0,4.0,0.0,0.0,800659050.0,0.0,51518611000.0,251130452000.0,0.20514680951555808
DLTA,Delta Djakarta Tbk.,2024,528752050.0,800659050.0,0.6603960200037706,3,2.0,5.0,0.4,0.0,5.0,0.0,0.0,800659050.0,0.0,38989742000.0,181357141000.0,0.2149887331979941
DMND,Diamond Food Indonesia Tbk.,2022,1951832764.0,9468359000.0,0.2061426656931787,3,3.0,5.0,0.6,0.0,3.0,0.0,3752768286.0,9468359000.0,0.39634833089873334,116670000000.0,498775000000.0,0.2339130870633051
DMND,Diamond Food Indonesia Tbk.,2023,1951902464.0,9468359000.0,0.20615002705326235,3,4.0,5.0,0.8,0.0,2.0,0.0,3752768286.0,9468359000.0,0.39634833089873334,94054000000.0,413132000000.0,0.22766089288653504
DMND,Diamond Food Indonesia Tbk.,2024,2609379213.0,9468359000.0,0.27558938280646095,3,4.0,6.0,0.6666666666666666,0.0,3.0,0.0,3306889113.0,9468359000.0,0.34925683669155344,101864000000.0,465596000000.0,0.2187819482985249
DSFI,Dharma Samudera Fishing Indust,2022,1286896450.0,1857135500.0,0.6929469874438349,3,2.0,5.0,0.4,1.0,4.0,0.25,0.0,1857135500.0,0.0,4381583263.0,25763792382.0,0.17006748067342814
DSFI,Dharma Samudera Fishing Indust,2023,1286896450.0,1857135500.0,0.6929469874438349,3,2.0,5.0,0.4,1.0,4.0,0.25,0.0,1857135500.0,0.0,3495735345.0,15583556884.0,0.22432204476945522
DSFI,Dharma Samudera Fishing Indust,2024,1286896450.0,1857135500.0,0.6929469874438349,3,2.0,5.0,0.4,1.0,4.0,0.25,0.0,1857135500.0,0.0,3477193797.0,15932353861.0,0.21824733666703489
DSNG,Dharma Satya Nusantara Tbk.,2022,8012830350.0,10599842400.0,0.755938630747944,3,3.0,9.0,0.3333333333333333,2.0,6.0,0.3333333333333333,972717500.0,10599842400.0,0.09176716627409479,403641000000.0,1610228000000.0,0.25067319659079335
DSNG,Dharma Satya Nusantara Tbk.,2023,8035943250.0,10599842400.0,0.7581191254315253,3,3.0,9.0,0.3333333333333333,2.0,8.0,0.25,1548685000.0,10599842400.0,0.14610453076170266,298978000000.0,1140643000000.0,0.26211356226268867
DSNG,Dharma Satya Nusantara Tbk.,2024,8180337350.0,10599842400.0,0.7717414128723272,3,3.0,9.0,0.3333333333333333,2.0,8.0,0.25,1548685000.0,10599842400.0,0.14610453076170266,498641000000.0,1640016000000.0,0.30404642393732745
EPMT,Enseval Putera Megatrading Tbk,2022,2652683509.0,2708640000.0,0.9793414809646169,3,2.0,6.0,0.3333333333333333,0.0,3.0,0.0,4637868.0,2708640000.0,0.0017122496898812688,253939000000.0,1096530000000.0,0.23158417918342408
EPMT,Enseval Putera Megatrading Tbk,2023,2587535375.0,2708640000.0,0.9552895087571622,3,2.0,5.0,0.4,1.0,4.0,0.25,4637868.0,2708640000.0,0.0017122496898812688,200201000000.0,888575000000.0,0.2253056860703936
EPMT,Enseval Putera Megatrading Tbk,2024,2653447069.0,2708640000.0,0.9796233788912517,3,2.0,5.0,0.4,1.0,4.0,0.25,4637868.0,2708640000.0,0.0017122496898812688,218259000000.0,956587000000.0,0.2281642966086723
FAPA,FAP Agri Tbk.,2022,3085000000.0,3629411800.0,0.8499999917341978,3,1.0,2.0,0.5,0.0,2.0,0.0,0.0,3629411800.0,0.0,244386026423.0,993696965685.0,0.24593617054524639
FAPA,FAP Agri Tbk.,2023,3629205000.0,3629411800.0,0.9999430210702461,3,1.0,2.0,0.5,0.0,2.0,0.0,0.0,3629411800.0,0.0,88172686286.0,249851687118.0,0.3529001036697334
FAPA,FAP Agri Tbk.,2024,3629266900.0,3629411800.0,0.9999600761754287,3,1.0,2.0,0.5,0.0,2.0,0.0,0.0,3629411800.0,0.0,203224933785.0,774678975566.0,0.26233438649412
FISH,FKS Multi Agro Tbk.,2022,429486100.0,480000000.0,0.8947627083333334,3,2.0,4.0,0.5,1.0,5.0,0.2,0.0,480000000.0,0.0,"145,830,548,890","656,869,541,640",0.22200838925474645
FISH,FKS Multi Agro Tbk.,2023,429486100.0,480000000.0,0.8947627083333334,3,2.0,4.0,0.5,2.0,6.0,0.3333333333333333,0.0,480000000.0,0.0,"119,873,644,384","501,164,324,592",0.23919029847463633
FISH,FKS Multi Agro Tbk.,2024,429426100.0,480000000.0,0.8946377083333333,3,2.0,4.0,0.5,2.0,6.0,0.3333333333333333,0.0,480000000.0,0.0,"80,172,552,758","235,193,458,221",0.34087917820684327
GGRM,Gudang Garam Tbk.,2022,1750920080.0,1924088000.0,0.91,3,2.0,4.0,0.5,0.0,9.0,0.0,12946930.0,1924088000.0,0.006728865831500431,866779000000.0,3646521000000.0,0.2377002627984317
GGRM,Gudang Garam Tbk.,2023,1729755112.0,1924088000.0,0.899,3,2.0,4.0,0.5,0.0,9.0,0.0,12946930.0,1924088000.0,0.006728865831500431,1536300000000.0,6860816000000.0,0.2239238014836719
GGRM,Gudang Garam Tbk.,2024,1725906936.0,1924088000.0,0.897,3,2.0,4.0,0.5,0.0,9.0,0.0,12946930.0,1924088000.0,0.006728865831500431,419750000000.0,1400554000000.0,0.29970283187938485
GOOD,Garudafood Putra Putri Jaya Tb,2022,19084750105.0,36897901455.0,0.517231315398124,3,3.0,9.0,0.3333333333333333,0.0,6.0,0.0,3405823950.0,36897901455.0,0.09230400146614517,152537429078.0,674251464663.0,0.22623225468889455
GOOD,Garudafood Putra Putri Jaya Tb,2023,18714539205.0,36897901455.0,0.5071979290698662,3,3.0,9.0,0.3333333333333333,0.0,6.0,0.0,6316659660.0,36897901455.0,0.17119292455435933,181549335257.0,783016628548.0,0.2318588502949919
GOOD,Garudafood Putra Putri Jaya Tb,2024,15583258305.0,36897901455.0,0.42233454181683083,3,3.0,9.0,0.3333333333333333,0.0,6.0,0.0,7278909760.0,36897901455.0,0.19727164616332515,171684464786.0,858879009270.0,0.1998936554892899
GZCO,Gozco Plantations Tbk.,2022,4364761500.0,6000000000.0,0.72746025,3,1.0,3.0,0.3333333333333333,0.0,5.0,0.0,1601461100.0,6000000000.0,0.26691018333333333,17439000000.0,93257000000.0,0.18699936733971712
GZCO,Gozco Plantations Tbk.,2023,3893343500.0,6000000000.0,0.6488905833333334,3,1.0,3.0,0.3333333333333333,0.0,4.0,0.0,1600461100.0,6000000000.0,0.2667435166666667,9685000000.0,12071000000.0,0.8023361776157734
