No,Kode,Nama Perusahaan,Tahun,X1_KepInstitusional,X2_KomiteAudit,X3_DewanKomInd,X4_KeberagamanGender,X5_KepManajerial,Y_ETR
87,KMDS,Kurniamitra Duta Sentosa Tbk.,2024,0.76190476375,3.0,0.3333333333333333,0.2,0.02803175875,0.2102816829532586
88,LSIP,PP London Sumatra Indonesia Tb,2022,0.5961901457055573,3.0,0.4,0.1111111111111111,3.108520823394116e-05,0.193404881089188
89,LSIP,PP London Sumatra Indonesia Tb,2023,0.5961901457055573,3.0,0.4,0.1111111111111111,3.108520823394116e-05,0.16540344471191298
90,LSIP,PP London Sumatra Indonesia Tb,2024,0.5961901457055573,3.0,0.4,0.2222222222222222,3.108520823394116e-05,0.16773271864969633
91,MAIN,Malindo Feedmill Tbk.,2022,0.572704921049693,3.0,0.6,0.0,0.003300993858179788,0.1763020915313837
92,MAIN,Malindo Feedmill Tbk.,2023,0.572704921049693,3.0,0.6,0.0,0.0033923394751535457,0.43298713208750866
93,MAIN,Malindo Feedmill Tbk.,2024,0.572704921049693,3.0,0.6,0.0,0.0036022780569514236,0.23537341113667312
94,MIDI,Midi Utama Indonesia Tbk.,2022,0.9585427253358627,3.0,0.5,0.2,0.0065051019080591445,0.19372915492474058
95,MIDI,Midi Utama Indonesia Tbk.,2023,0.9414764413263077,3.0,0.6666666666666666,0.4,0.006713265169117038,0.18810265119350883
96,MIDI,Midi Utama Indonesia Tbk.,2024,0.9601259036304355,3.0,0.6666666666666666,0.4,0.006713265169117038,0.2775405415669743
97,MLBI,Multi Bintang Indonesia Tbk.,2022,0.8931898433792121,3.0,0.5,0.5,0.0,0.2579898546876141
98,MLBI,Multi Bintang Indonesia Tbk.,2023,0.8931898433792121,3.0,0.4,0.6,0.0,0.23699524940617578
99,MLBI,Multi Bintang Indonesia Tbk.,2024,0.8931898433792121,3.0,0.4,0.5,0.0,0.21111467176454013
100,MLPL,Multipolar Tbk.,2022,0.5856202741604056,3.0,0.4,0.0,4.667855807654317e-06,1.6669652415179255
101,MLPL,Multipolar Tbk.,2023,0.5856202741604056,3.0,0.4,0.0,0.0004511399978552719,0.6529992019154031
102,MLPL,Multipolar Tbk.,2024,0.5856202741604056,3.0,0.3333333333333333,0.0,0.003047330517673179,0.4305956615969822
103,MYOR,Mayora Indah Tbk.,2022,0.5907083858831151,3.0,0.4,0.0,0.2525240988717648,0.2138789616556263
104,MYOR,Mayora Indah Tbk.,2023,0.5907083858831151,3.0,0.4,0.0,0.2525240988717648,0.2073528735891577
105,MYOR,Mayora Indah Tbk.,2024,0.5907083858831151,3.0,0.4,0.0,0.25263181980498645,0.20958696556491668
106,PGUN,Pradiksi Gunatama Tbk.,2022,0.9989610043550116,3.0,0.5,0.0,0.0,0.11451296496314255
107,PGUN,Pradiksi Gunatama Tbk.,2023,0.9292897058908635,3.0,0.5,0.0,2.7536451943803564e-06,0.22483993518849085
108,PGUN,Pradiksi Gunatama Tbk.,2024,0.881402090575309,3.0,0.5,0.0,2.7536451943803564e-06,0.2223652192809251
109,PSGO,Palma Serasih Tbk.,2022,0.8827834801061007,3.0,0.5,0.42857142857142855,0.08488063660477453,0.19103751017904452
110,PSGO,Palma Serasih Tbk.,2023,0.8827639946949603,3.0,0.5,0.42857142857142855,0.08488063660477453,0.167342434448286
111,PSGO,Palma Serasih Tbk.,2024,0.8827796923076923,3.0,0.6666666666666666,0.42857142857142855,0.08488063660477453,0.20150141002321187
112,ROTI,Nippon Indosari Corpindo Tbk.,2022,0.9948106385413101,3.0,0.3333333333333333,0.6,0.0,0.24535481401163833
113,ROTI,Nippon Indosari Corpindo Tbk.,2023,0.992052568768794,3.0,0.3333333333333333,0.6,0.0,0.2212437502975395
114,ROTI,Nippon Indosari Corpindo Tbk.,2024,0.9863315740914008,3.0,0.3333333333333333,0.6,0.0,0.22763713994434323
115,SDPC,Millennium Pharmacon Internati,2022,0.9254217103610675,2.0,0.8333333333333334,0.0,0.0,0.3290926719581874
116,SDPC,Millennium Pharmacon Internati,2023,0.8969389199372056,4.0,0.6,0.0,0.0,0.3102445366124553
117,SDPC,Millennium Pharmacon Internati,2024,0.8837357802197802,4.0,0.6,0.0,0.0,0.3894102247481861
118,SGRO,Sampoerna Agro Tbk.,2022,0.935616637212131,3.0,0.6666666666666666,0.0,0.0,0.2596765474463316
119,SGRO,Sampoerna Agro Tbk.,2023,0.945799072044658,3.0,0.6666666666666666,0.0,0.0,0.40779787855784927
120,SGRO,Sampoerna Agro Tbk.,2024,0.9500415699359185,3.0,0.6666666666666666,0.0,0.0,0.34705042571416533
121,SIMP,Salim Ivomas Pratama Tbk.,2022,0.8758,3.0,0.3333333333333333,0.1111111111111111,5.93498226924047e-05,0.3702070016262089
122,SIMP,Salim Ivomas Pratama Tbk.,2023,0.8743,3.0,0.3333333333333333,0.1111111111111111,5.93498226924047e-05,0.37703511957136204
123,SIMP,Salim Ivomas Pratama Tbk.,2024,0.8736,3.0,0.3333333333333333,0.09090909090909091,5.93498226924047e-05,0.26848444811303057
124,SKLT,Sekar Laut Tbk.,2022,0.9776838045546772,3.0,0.3333333333333333,0.2,0.005296151014744322,0.19011599043311347
125,SKLT,Sekar Laut Tbk.,2023,0.9819441888813527,3.0,0.3333333333333333,0.2,0.005407951321806091,0.22000000000064154
126,SKLT,Sekar Laut Tbk.,2024,0.9813431382697265,3.0,0.3333333333333333,0.2,0.005407951321806091,0.22552218336403473
127,SMAR,Smart Tbk.,2022,0.9239968319737425,3.0,0.42857142857142855,0.0,0.0,0.19115788180701915
128,SMAR,Smart Tbk.,2023,0.9239968319737425,3.0,0.42857142857142855,0.0,0.0,0.17225936660756833
129,SMAR,Smart Tbk.,2024,0.9239968319737425,3.0,0.42857142857142855,0.16666666666666666,0.0,0.193745971155047
130,SSMS,Sawit Sumbermas Sarana Tbk.,2022,0.6415766729658793,3.0,0.3333333333333333,0.0,6.299212598425197e-06,0.18784217842114118
131,SSMS,Sawit Sumbermas Sarana Tbk.,2023,0.7085371548556431,3.0,0.3333333333333333,0.0,1.5748031496062993e-05,0.37693583379143225
132,SSMS,Sawit Sumbermas Sarana Tbk.,2024,0.7035304818897637,3.0,0.3333333333333333,0.0,0.0,0.3110764955576696
133,STTP,Siantar Top Tbk.,2022,0.6353971755725191,3.0,0.5,0.0,0.0,0.17469988869026637
134,STTP,Siantar Top Tbk.,2023,0.6353743511450382,3.0,0.5,0.0,0.03187083969465649,0.1676397245172241
135,STTP,Siantar Top Tbk.,2024,0.6353431297709924,3.0,0.5,0.0,0.03187083969465649,0.12895110587102332
136,TAPG,Triputra Agro Persada Tbk.,2022,0.8657078691190145,3.0,0.375,0.2,0.0058982175580555435,0.16277860103364314
137,TAPG,Triputra Agro Persada Tbk.,2023,0.8670394266930076,3.0,0.375,0.2,0.007229775132048594,0.14416582779437206
138,TAPG,Triputra Agro Persada Tbk.,2024,0.8309791861394058,3.0,0.42857142857142855,0.2,0.008468457940394528,0.17476999692378525
139,TBLA,Tunas Baru Lampung Tbk.,2022,0.5522764714186063,3.0,0.3333333333333333,0.14285714285714285,0.0,0.21451939493373634
140,TBLA,Tunas Baru Lampung Tbk.,2023,0.6379350039720659,3.0,0.3333333333333333,0.0,0.0,0.22097081844012964
141,TBLA,Tunas Baru Lampung Tbk.,2024,0.5941960688506857,3.0,0.3333333333333333,0.0,0.0,0.22450108411876632
142,TGKA,Tigaraksa Satria Tbk.,2022,0.052146287451292496,3.0,0.4,0.3333333333333333,0.0046306843467191225,0.20935608667943997
143,TGKA,Tigaraksa Satria Tbk.,2023,0.067756640496988,3.0,0.4,0.3333333333333333,0.002897409914231767,0.24921236053547569
144,TGKA,Tigaraksa Satria Tbk.,2024,0.06780998875331658,3.0,0.4,0.3333333333333333,0.002897409914231767,0.18475697708340086
145,UCID,Uni-Charm Indonesia Tbk.,2022,0.803190142993543,3.0,0.4,0.25,1.2029142377723105e-07,0.27241853656952375
146,UCID,Uni-Charm Indonesia Tbk.,2023,0.803190142993543,3.0,0.4,0.25,2.4058284755446214e-06,0.24325905801833808
147,UCID,Uni-Charm Indonesia Tbk.,2024,0.8000000144349708,3.0,0.4,0.25,8.646547541107369e-05,0.24086008461340166
